Count of B: FRED_Code,,,
C: FRED_Category,D: FRED_Subcategory,A: Indicator,Total
Commodities,Energy prices,WTI_Crude_Oil_Price,1
Composite indexes,Activity,Chicago_Fed_National_Activity_Index,1
,Financial conditions,Chicago_Fed_National_Financial_Conditions,1
Credit & spreads,Corporate yields,Moodys_BAA_Corporate_Bond_Yield,1
,High-yield spreads,High_Yield_OAS,1
,Investment-grade spreads,BBB_Corporate_Spread,1
Expectations,Consumer sentiment,U_Mich_Consumer_Sentiment,1
,Inflation surveys,U_Mich_Inflation_Expectations,1
Housing,Building permits,New_Private_Housing_Units_Authorized,1
,Construction/starts,Housing_Starts:_Total,1
,Mortgage rates,30-Year_Fixed_Mortgage_Rate,1
Interest rates,Inflation expectations,10-Year_Breakeven_Inflation,1
,,5-Year_Breakeven_Inflation,1
,Policy rate,Effective_Fed_Funds_Rate,1
,Real yields,10-Year_TIPS_Yield,1
,Term spread,10Y-2Y_Treasury_Spread,1
,,10Y-3M_Treasury_Spread,1
,Treasury bills,1-Month_Treasury_Bill,1
,Treasury yields,10-Year_Treasury_Yield,1
,,2-Year_Treasury_Yield,1
Labor market,Employment level,Nonfarm_Payrolls,1
,Job openings,Job_Openings_(JOLTS),1
,Participation,Civilian_Labor_Force_Participation,1
,Structural unemployment,Natural_Rate__of_Unemployment_(est.),1
,Unemployment,Unemployment_Rate,1
Markets,Broad equity volatility,Equity_Vol_Tracker:_Broad Macro,1
,Equity volatility,CBOE_Volatility_Index (VIX),1
,News-implied volatility,Equity_Mkt_Vol:_Macro_News_Tracker,1
,Uncertainty measures,Equity_Market_Uncertainty_Index,1
Money & credit,Bank lending,Commercial_&_Industrial_Loans,1
,Monetary aggregates,M2_Money_Stock,1
,Monetary base,Monetary_Base,1
,Money market,ON_RRP_(Reverse_Repo)_Balance,1
Prices,Core inflation (YoY % change),Core_CPI_(ex_Food/Energy),1
,Energy & utilities,Average_price_of_electricity,1
,Food prices,Average_price_of_eggs,1
,Producer prices,Producer_Price_Index,1
Real activity,Capacity utilization,Capacity_Utilization:_Manufacturing,1
,Composite leading,Leading_Index_for_US,1
,Consumption,Personal_Consumption_Expenditures,1
,Industrial output,Industrial_Production_Index,1
,Output & income,CPI_Inflation,1
,,GDP,1
,,Real_Gross_Domestic_Product,1
,Recession dummies,NBER_Recession_Indicator,1
,Recession probabilities,Recession_Probabilities,1
