Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,BND,70.40731139082374,70.51629872989837,70.36538973930104,70.39892578125,5511000,0.0,0.0,0.0,-0.00838560957373602,-0.011910140307997794,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-03,BND,70.57500034684169,70.66722288290217,70.50792824855274,70.65045166015625,5368300,0.0,0.0,0.0,0.07545131331455934,0.1069094055171845,2020,1,3,3,4,1,70.39892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,BND,70.67561363978851,70.68399285542417,70.5163189938417,70.56661987304688,3710400,0.0,0.0,0.0,-0.10899376674163364,-0.15421693725524727,2020,1,6,6,0,1,70.65045166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,low,2
2020-01-07,BND,70.59176386405065,70.59176386405065,70.48277650361288,70.50792694091797,3029900,0.0,0.0,0.0,-0.08383692313267943,-0.11876303770243936,2020,1,7,7,1,1,70.56661987304688,70.39892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,BND,70.53306355269986,70.59175002702403,70.34023930692581,70.39892578125,3674400,0.0,0.0,0.0,-0.13413777144985772,-0.1901771519531895,2020,1,8,8,2,1,70.50792694091797,70.65045166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-09,BND,70.348650266152,70.50793852737552,70.30672859952313,70.4827880859375,5886600,0.0,0.0,0.0,0.13413781978549366,0.1906757546562817,2020,1,9,9,3,1,70.39892578125,70.56661987304688,70.39892578125,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-10,BND,70.55823579767694,70.62530149988206,70.5079285255889,70.60015106201172,4525700,0.0,0.0,0.0,0.04191526433477577,0.05940520459576993,2020,1,10,10,4,1,70.4827880859375,70.50792694091797,70.65045166015625,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-13,BND,70.57503051960114,70.57503051960114,70.50795839263702,70.55826568603516,3735700,0.0,0.0,0.0,-0.016764833565986237,-0.02375462460668729,2020,1,13,13,0,1,70.60015106201172,70.39892578125,70.56661987304688,70.39892578125,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,low,2
2020-01-14,BND,70.5917642673179,70.66722197601143,70.57499944113448,70.6588363647461,3492300,0.0,0.0,0.0,0.06707209742819487,0.09501405457753583,2020,1,14,14,1,1,70.55826568603516,70.4827880859375,70.50792694091797,70.65045166015625,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-15,BND,70.75945954076208,70.7678451538086,70.68400181604072,70.7678451538086,2594300,0.0,0.0,0.0,0.00838561304651364,0.011850872096730726,2020,1,15,15,2,1,70.6588363647461,70.60015106201172,70.39892578125,70.56661987304688,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-16,BND,70.73429198308783,70.78459285649885,70.68398471332975,70.72590637207031,4784100,0.0,0.0,0.0,-0.008385611017516226,-0.011855085818235345,2020,1,16,16,3,1,70.7678451538086,70.55826568603516,70.4827880859375,70.50792694091797,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-17,BND,70.65042670469941,70.72588438770782,70.63366188422259,70.71749877929688,3090600,0.0,0.0,0.0,0.067072074597462,0.09493513022618533,2020,1,17,17,4,1,70.72590637207031,70.6588363647461,70.60015106201172,70.39892578125,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-21,BND,70.83490633959703,70.91874327565532,70.7762198447214,70.89359283447266,2910600,0.0,0.0,0.0,0.058686494875630046,0.08284968232226494,2020,1,21,21,1,1,70.71749877929688,70.7678451538086,70.55826568603516,70.4827880859375,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-22,BND,70.91871158092376,70.9522476196289,70.89356115098123,70.9522476196289,4192100,0.0,0.0,0.0,0.03353603870515087,0.04728799770549081,2020,1,22,22,2,1,70.89359283447266,70.72590637207031,70.6588363647461,70.60015106201172,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-23,BND,71.07801818847656,71.11993984303537,71.02771732008316,71.07801818847656,3104800,0.0,0.0,0.0,0.0,0.0,2020,1,23,23,3,1,70.9522476196289,70.71749877929688,70.7678451538086,70.55826568603516,70.39892578125,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,same,1
2020-01-24,BND,71.11994725240137,71.26247065859526,71.09479681558446,71.18701934814453,4548400,0.0,0.0,0.0,0.06707209574315698,0.09430841604131292,2020,1,24,24,4,1,71.07801818847656,70.89359283447266,70.72590637207031,70.6588363647461,70.65045166015625,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-27,BND,71.40502747609787,71.430177924683,71.34634096394923,71.42179870605469,3208600,0.0,0.0,0.0,0.01677122995681657,0.023487463767772616,2020,1,27,27,0,1,71.18701934814453,70.9522476196289,70.71749877929688,70.7678451538086,70.56661987304688,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-28,BND,71.37147183286895,71.37985744554689,71.24571962444153,71.2960205078125,3993400,0.0,0.0,0.0,-0.07545132505644858,-0.10571636414215115,2020,1,28,28,1,1,71.42179870605469,71.07801818847656,70.89359283447266,70.72590637207031,70.50792694091797,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-29,BND,71.4049851205933,71.5391292952767,71.37983468692673,71.49720764160156,4177500,0.0,0.0,0.0,0.09222252100826722,0.1291541771943737,2020,1,29,29,2,1,71.2960205078125,71.18701934814453,70.9522476196289,70.71749877929688,70.39892578125,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-30,BND,71.56428555160151,71.63973685874012,71.45529819806349,71.51398468017578,4795700,0.0,0.0,0.0,-0.05030087142573336,-0.07028767357631742,2020,1,30,30,3,1,71.49720764160156,71.42179870605469,71.07801818847656,70.89359283447266,70.4827880859375,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-31,BND,71.59783116606776,71.74874019685872,71.5810599424534,71.69843292236328,6264000,0.0,0.0,0.0,0.10060175629551793,0.14050950239285454,2020,1,31,31,4,1,71.51398468017578,71.2960205078125,71.18701934814453,70.9522476196289,70.60015106201172,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-02-03,BND,71.60015057104589,71.66736651879788,71.49092305343251,71.63375854492188,6030800,0.183,0.0,0.0,0.033607973875987796,0.04693841229096297,2020,2,3,34,0,1,71.69843292236328,71.49720764160156,71.42179870605469,71.07801818847656,70.55826568603516,70.39892578125,0.0,0.0,0.866025,0.5,0.0,1.0,high,0
2020-02-04,BND,71.44047230741228,71.44887589845834,71.34805203609113,71.41526794433594,4180900,0.0,0.0,0.0,-0.025204363076340996,-0.03528023018644843,2020,2,4,35,1,1,71.63375854492188,71.51398468017578,71.2960205078125,71.18701934814453,70.6588363647461,70.65045166015625,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-05,BND,71.32285756481413,71.36486911580919,71.27244883167023,71.29765319824219,3537200,0.0,0.0,0.0,-0.02520436657194125,-0.03533841384444947,2020,2,5,36,2,1,71.41526794433594,71.69843292236328,71.49720764160156,71.42179870605469,70.7678451538086,70.56661987304688,0.0,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,low,2
2020-02-06,BND,71.33965617112668,71.38166130700819,71.28924103398215,71.36486053466797,3435700,0.0,0.0,0.0,0.02520436354129174,0.03533008833240314,2020,2,6,37,3,1,71.29765319824219,71.63375854492188,71.51398468017578,71.2960205078125,70.72590637207031,70.50792694091797,0.0,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-07,BND,71.55812387450767,71.6085390296972,71.50771512938239,71.58332824707031,4169700,0.0,0.0,0.0,0.025204372562640742,0.03522223780886423,2020,2,7,38,4,1,71.36486053466797,71.41526794433594,71.69843292236328,71.49720764160156,70.71749877929688,70.39892578125,0.0,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,high,0
2020-02-10,BND,71.70935143634235,71.74295940073141,71.64213550756419,71.69255065917969,2785500,0.0,0.0,0.0,-0.01680077716265771,-0.02342899053768748,2020,2,10,41,0,1,71.58332824707031,71.29765319824219,71.63375854492188,71.51398468017578,70.89359283447266,70.4827880859375,0.0,0.0,0.866025,0.5,0.0,1.0,low,2
2020-02-11,BND,71.65896026902621,71.6841646459834,71.56653994680629,71.57494354248047,3799400,0.0,0.0,0.0,-0.084016726545741,-0.11724524920585025,2020,2,11,42,1,1,71.69255065917969,71.36486053466797,71.41526794433594,71.69843292236328,70.9522476196289,70.60015106201172,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-12,BND,71.49930935567154,71.52451372746589,71.45730420603566,71.49090576171875,4127500,0.0,0.0,0.0,-0.008403593952792221,-0.011753391785910478,2020,2,12,43,2,1,71.57494354248047,71.58332824707031,71.29765319824219,71.63375854492188,71.07801818847656,70.55826568603516,70.39892578125,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,low,2
2020-02-13,BND,71.53290872937755,71.60852824574172,71.49930076766718,71.55811309814453,2852500,0.0,0.0,0.0,0.02520436876697829,0.0352346482404779,2020,2,13,44,3,1,71.49090576171875,71.69255065917969,71.36486053466797,71.41526794433594,71.18701934814453,70.6588363647461,70.65045166015625,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-14,BND,71.68416730070308,71.70096808260827,71.62535494893648,71.63375854492188,3069000,0.0,0.0,0.0,-0.05040875578120563,-0.07032062682649201,2020,2,14,45,4,1,71.55811309814453,71.57494354248047,71.58332824707031,71.29765319824219,71.42179870605469,70.7678451538086,70.56661987304688,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
