Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,EFA,58.48660839402542,58.65381236146869,58.386286013559456,58.637088775634766,24749300,0.0,0.0,0.0,0.1504803816093485,0.2572903195130743,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-03,EFA,57.842895750891465,58.26925155449792,57.842895750891465,57.90977096557617,29921500,0.0,0.0,0.0,0.06687521468470692,0.11561526064102047,2020,1,3,3,4,1,58.637088775634766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,EFA,57.81780485459791,58.16056178570625,57.809443062665,58.13548278808594,22636400,0.0,0.0,0.0,0.317677933488028,0.5494465490119086,2020,1,6,6,0,1,57.90977096557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-07,EFA,58.11876118545472,58.135484769890645,57.93484640391007,57.97664260864258,15107500,0.0,0.0,0.0,-0.14211857681214468,-0.24453132502024572,2020,1,7,7,1,1,58.13548278808594,58.637088775634766,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,EFA,57.90976667619985,58.30268803245014,57.90141126134549,58.14385223388672,14249500,0.0,0.0,0.0,0.23408555768686767,0.404224660402705,2020,1,8,8,2,1,57.97664260864258,57.90977096557617,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-09,EFA,58.25252033796806,58.31104012310785,58.13548076768848,58.2775993347168,13749100,0.0,0.0,0.0,0.025078996748739257,0.04305220890570321,2020,1,9,9,3,1,58.14385223388672,58.13548278808594,58.637088775634766,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-10,EFA,58.23579979335406,58.33611577459643,57.99335887505526,58.06023406982422,33832300,0.0,0.0,0.0,-0.1755657235298429,-0.3014738771560216,2020,1,10,10,4,1,58.2775993347168,57.97664260864258,57.90977096557617,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-13,EFA,58.11040207830087,58.3946392138609,57.99336250740223,58.36119842529297,16443000,0.0,0.0,0.0,0.25079634699209663,0.43158597776377633,2020,1,13,13,0,1,58.06023406982422,58.14385223388672,58.13548278808594,58.637088775634766,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,EFA,58.25252593091216,58.52004588554751,58.244164138467006,58.41972351074219,28826600,0.0,0.0,0.0,0.16719757983003092,0.28702202549693423,2020,1,14,14,1,1,58.36119842529297,58.2775993347168,57.97664260864258,57.90977096557617,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-15,EFA,58.36956551242895,58.51168409310236,58.34448651327232,58.41972351074219,12217900,0.0,0.0,0.0,0.05015799831323875,0.08593176576337258,2020,1,15,15,2,1,58.41972351074219,58.06023406982422,58.14385223388672,58.13548278808594,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-16,EFA,58.51169002179029,58.687249411854,58.44481480998945,58.66217041015625,12883400,0.0,0.0,0.0,0.15048038836596334,0.25718004096262315,2020,1,16,16,3,1,58.41972351074219,58.36119842529297,58.2775993347168,57.97664260864258,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-17,EFA,58.82100557191006,58.87116356931952,58.69560420020768,58.83772277832031,18473700,0.0,0.0,0.0,0.01671720641025587,0.028420470285600085,2020,1,17,17,4,1,58.66217041015625,58.41972351074219,58.06023406982422,58.14385223388672,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
