Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,IVV,296.8167790726998,298.0406494140625,295.87604145874053,298.0406494140625,4070500,0.0,0.0,0.0,1.2238703413627263,0.4123319258386542,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-03,IVV,294.57903586186086,296.889780921104,294.56077912792114,295.74810791015625,4290400,0.0,0.0,0.0,1.1690720482953907,0.39686193040689166,2020,1,3,3,4,1,298.0406494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,IVV,293.99450915459244,296.9628589364146,293.8940274373122,296.91717529296875,4212000,0.0,0.0,0.0,2.9226661383763144,0.9941226952777802,2020,1,6,6,0,1,295.74810791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-07,IVV,296.3417581033762,296.807569588846,295.6019562575565,296.10430908203125,3632500,0.0,0.0,0.0,-0.2374490213449576,-0.08012675056821578,2020,1,7,7,1,1,296.91717529296875,298.0406494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,IVV,296.26871953993265,298.853454990514,296.0221003292229,297.611328125,3912100,0.0,0.0,0.0,1.342608585067353,0.4531725749354344,2020,1,8,8,2,1,296.10430908203125,295.74810791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-09,IVV,299.2005081477447,299.73026000206147,298.60684379201,299.6206359863281,2964600,0.0,0.0,0.0,0.42012783858342573,0.1404168198725008,2020,1,9,9,3,1,297.611328125,296.91717529296875,298.0406494140625,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-10,IVV,300.24169422498346,300.39694611933123,298.3145360154498,298.7894897460937,3494600,0.0,0.0,0.0,-1.4522044788897688,-0.4836784853077642,2020,1,10,10,4,1,299.6206359863281,296.10430908203125,295.74810791015625,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-13,IVV,299.45632801992474,300.8811340332031,298.9905164057397,300.8811340332031,3588100,0.0,0.0,0.0,1.4248060132783849,0.4757975971653481,2020,1,13,13,0,1,298.7894897460937,297.611328125,296.91717529296875,298.0406494140625,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,IVV,300.397090143378,301.4657086767997,299.6755447724844,300.4153747558594,4298700,0.0,0.0,0.0,0.01828461248135227,0.006086814114153074,2020,1,14,14,1,1,300.8811340332031,299.6206359863281,296.10430908203125,295.74810791015625,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-15,IVV,300.31484318964925,301.8492452477774,300.2235037610482,301.0911865234375,4405100,0.0,0.0,0.0,0.7763433337882475,0.25850981108449095,2020,1,15,15,2,1,300.4153747558594,298.7894897460937,297.611328125,296.91717529296875,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-16,IVV,302.4703005330774,303.5936889648437,302.24196592527096,303.5936889648437,5493100,0.0,0.0,0.0,1.1233884317662728,0.37140454113557564,2020,1,16,16,3,1,301.0911865234375,300.8811340332031,299.6206359863281,296.10430908203125,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-17,IVV,304.3243982719964,304.7353838718143,303.7215915193845,304.598388671875,4982400,0.0,0.0,0.0,0.27399039987858487,0.09003234753254982,2020,1,17,17,4,1,303.5936889648437,300.4153747558594,298.7894897460937,297.611328125,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-21,IVV,303.57537461712144,304.7353041704079,303.51143424958,303.9407043457031,5892400,0.0,0.0,0.0,0.3653297285816848,0.12034234629289342,2020,1,21,21,1,1,304.598388671875,301.0911865234375,300.8811340332031,299.6206359863281,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-22,IVV,304.826668113161,305.45687379167435,303.84938940904635,304.0046691894531,4182400,0.0,0.0,0.0,-0.8219989237078948,-0.26966109257958476,2020,1,22,22,2,1,303.9407043457031,303.5936889648437,300.4153747558594,298.7894897460937,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-23,IVV,303.3196745496107,304.51614556987795,302.2054006368952,304.379150390625,7454900,0.0,0.0,0.0,1.0594758410143186,0.34929347810606054,2020,1,23,23,3,1,304.0046691894531,304.598388671875,301.0911865234375,300.8811340332031,298.0406494140625,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-24,IVV,304.9728649126058,305.06420433808995,300.3422319820646,301.6117858886719,4793500,0.0,0.0,0.0,-3.3610790239339394,-1.102091172897334,2020,1,24,24,4,1,304.379150390625,303.9407043457031,303.5936889648437,300.4153747558594,295.74810791015625,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-27,IVV,296.33269150976025,298.2598223920229,296.0038751513852,296.7162780761719,6552900,0.0,0.0,0.0,0.3835865664116227,0.12944456599011067,2020,1,27,27,0,1,301.6117858886719,304.0046691894531,304.598388671875,301.0911865234375,296.91717529296875,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-28,IVV,298.2324057324813,300.7623432282342,297.74833746440214,299.8764038085937,5559200,0.0,0.0,0.0,1.643998076112382,0.5512472972461188,2020,1,28,28,1,1,296.7162780761719,304.379150390625,303.9407043457031,303.5936889648437,296.10430908203125,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-29,IVV,301.28301170665566,301.47480501600506,299.50201808835897,299.6664123535156,3372400,0.0,0.0,0.0,-1.6165993531400318,-0.5365716918397093,2020,1,29,29,2,1,299.8764038085937,301.6117858886719,304.0046691894531,304.598388671875,297.611328125,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-30,IVV,297.58394984921426,300.8171479956624,296.7984642635571,300.570556640625,4084500,0.0,0.0,0.0,2.986606791410736,1.0036182371139468,2020,1,30,30,3,1,299.6664123535156,296.7162780761719,304.379150390625,303.9407043457031,299.6206359863281,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-31,IVV,299.98605289716994,300.1413048392695,294.2594024454651,295.2275390625,6354000,0.0,0.0,0.0,-4.758513834669941,-1.5862450232981589,2020,1,31,31,4,1,300.570556640625,299.8764038085937,301.6117858886719,304.0046691894531,298.7894897460937,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-02-03,IVV,296.661614457536,299.2280946109178,296.5885596074956,297.3466186523437,3119700,0.0,0.0,0.0,0.685004194807675,0.2309042226646839,2020,2,3,34,0,1,295.2275390625,299.6664123535156,296.7162780761719,304.379150390625,300.8811340332031,298.0406494140625,0.0,0.0,0.866025,0.5,0.0,1.0,high,0
2020-02-04,IVV,300.99980707891314,302.76254353775954,300.68927536125705,301.95880126953125,3636300,0.0,0.0,0.0,0.9589941906181139,0.3186029253389835,2020,2,4,35,1,1,297.3466186523437,300.570556640625,299.8764038085937,301.6117858886719,300.4153747558594,295.74810791015625,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,high,0
2020-02-05,IVV,304.85404330441446,305.5847027632575,303.41098111769446,305.3198547363281,4106100,0.0,0.0,0.0,0.46581143191366436,0.1527981806849531,2020,2,5,36,2,1,301.95880126953125,295.2275390625,299.6664123535156,296.7162780761719,301.0911865234375,296.91717529296875,0.0,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,high,0
2020-02-06,IVV,306.4889831542969,306.58943700245527,305.3199110806821,306.4889831542969,4442600,0.0,0.0,0.0,0.0,0.0,2020,2,6,37,3,1,305.3198547363281,297.3466186523437,300.570556640625,299.8764038085937,303.5936889648437,296.10430908203125,0.0,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,same,1
2020-02-07,IVV,305.3563841105847,306.08707148037604,304.2512525628122,304.82666015625,4679900,0.0,0.0,0.0,-0.5297239543347132,-0.17347728159594458,2020,2,7,38,4,1,306.4889831542969,301.95880126953125,295.2275390625,299.6664123535156,304.598388671875,297.611328125,0.0,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
2020-02-10,IVV,303.87678466126994,307.100867816151,303.87678466126994,307.0826110839844,3614300,0.0,0.0,0.0,3.2058264227144377,1.054975761405386,2020,2,10,41,0,1,304.82666015625,305.3198547363281,297.3466186523437,300.570556640625,303.9407043457031,299.6206359863281,0.0,0.0,0.866025,0.5,0.0,1.0,high,0
2020-02-11,IVV,308.4435869804244,309.20167366700235,307.1192626646887,307.64898681640625,5850800,0.0,0.0,0.0,-0.7946001640181635,-0.25761604311409897,2020,2,11,42,1,1,307.0826110839844,306.4889831542969,301.95880126953125,295.2275390625,304.0046691894531,298.7894897460937,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-12,IVV,309.06464200616324,309.7953016891922,308.6901698599248,309.62176513671875,5473300,0.0,0.0,0.0,0.5571231305555102,0.1802610376066248,2020,2,12,43,2,1,307.64898681640625,304.82666015625,305.3198547363281,297.3466186523437,304.379150390625,300.8811340332031,298.0406494140625,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,high,0
2020-02-13,IVV,308.2151940295692,310.2428065593822,307.8864055574862,309.2381286621094,7908300,0.0,0.0,0.0,1.0229346325401707,0.3318897485767796,2020,2,13,44,3,1,309.62176513671875,307.0826110839844,306.4889831542969,301.95880126953125,301.6117858886719,300.4153747558594,295.74810791015625,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-14,IVV,309.6216675430033,309.85914440793044,308.4799947275793,309.68560791015625,6510600,0.0,0.0,0.0,0.06394036715295215,0.02065112808814373,2020,2,14,45,4,1,309.2381286621094,307.64898681640625,304.82666015625,305.3198547363281,296.7162780761719,301.0911865234375,296.91717529296875,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,high,0
2020-02-18,IVV,308.75413217627863,309.3478246214923,307.5668030316208,308.9459533691406,3566600,0.0,0.0,0.0,0.19182119286199395,0.06212749008731532,2020,2,18,49,1,1,309.68560791015625,309.62176513671875,307.0826110839844,306.4889831542969,299.8764038085937,303.5936889648437,296.10430908203125,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,high,0
2020-02-19,IVV,309.92312320424065,311.11047991001647,309.63999051527446,310.42547607421875,2678800,0.0,0.0,0.0,0.5023528699780968,0.16208950941909686,2020,2,19,50,2,1,308.9459533691406,309.2381286621094,307.64898681640625,304.82666015625,299.6664123535156,304.598388671875,297.611328125,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,high,0
2020-02-20,IVV,309.92314583157986,310.7177737523376,306.1784802207915,309.15594482421875,3567700,0.0,0.0,0.0,-0.7672010073611091,-0.24754556659605723,2020,2,20,51,3,1,310.42547607421875,309.68560791015625,309.62176513671875,307.0826110839844,300.570556640625,303.9407043457031,299.6206359863281,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,low,2
2020-02-21,IVV,307.7950737537722,308.0873487625546,305.1463976847696,305.9775390625,4323700,0.0,0.0,0.0,-1.8175346912722148,-0.5905015532269998,2020,2,21,52,4,1,309.15594482421875,308.9459533691406,309.2381286621094,307.64898681640625,295.2275390625,304.0046691894531,298.7894897460937,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
2020-02-24,IVV,296.4786990662258,298.91732431888613,294.73424763621574,295.76629638671875,7492100,0.0,0.0,0.0,-0.7124026795070222,-0.24028798080630054,2020,2,24,55,0,1,305.9775390625,310.42547607421875,309.68560791015625,309.62176513671875,297.3466186523437,304.379150390625,300.8811340332031,0.0,0.866025,0.5,0.0,1.0,low,2
2020-02-25,IVV,297.18205710976974,297.8031205407603,285.94797791263943,286.8978576660156,12100900,0.0,0.0,0.0,-10.284199443754119,-3.460572130017748,2020,2,25,56,1,1,295.76629638671875,309.15594482421875,308.9459533691406,309.2381286621094,301.95880126953125,301.6117858886719,300.4153747558594,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-26,IVV,288.18572832502366,291.81168369429366,285.025584562663,285.79278564453125,11655100,0.0,0.0,0.0,-2.3929426804924105,-0.8303473924265898,2020,2,26,57,2,1,286.8978576660156,305.9775390625,310.42547607421875,309.68560791015625,305.3198547363281,296.7162780761719,301.0911865234375,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,low,2
2020-02-27,IVV,280.13915266062924,284.0756388996373,272.82330322265625,272.82330322265625,11340100,0.0,0.0,0.0,-7.315849437972986,-2.611505520913627,2020,2,27,58,3,1,285.79278564453125,295.76629638671875,309.15594482421875,308.9459533691406,306.4889831542969,299.8764038085937,303.5936889648437,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,low,2
2020-02-28,IVV,264.90469882772504,272.1383239336584,261.86326610021354,270.2659912109375,19515300,0.0,0.0,0.0,5.361292383212458,2.0238570349780987,2020,2,28,59,4,1,272.82330322265625,286.8978576660156,305.9775390625,310.42547607421875,304.82666015625,299.6664123535156,304.598388671875,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,high,0
2020-03-02,IVV,273.3987527276774,283.5916140859469,270.02853131595606,283.5002746582031,11780800,0.0,0.0,0.0,10.101521930525735,3.694794445747708,2020,3,2,62,0,1,270.2659912109375,285.79278564453125,295.76629638671875,309.15594482421875,307.0826110839844,300.570556640625,303.9407043457031,0.0,1.0,0.0,0.0,1.0,high,0
2020-03-03,IVV,283.8290432965874,287.83858428253586,272.978578905141,275.3715209960937,12910300,0.0,0.0,0.0,-8.457522300493679,-2.9797945278122873,2020,3,3,63,1,1,283.5002746582031,272.82330322265625,286.8978576660156,305.9775390625,307.64898681640625,295.2275390625,304.0046691894531,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,low,2
2020-03-04,IVV,280.8059073100732,287.4732666015625,278.3033410952359,287.4732666015625,7188600,0.0,0.0,0.0,6.6673592914892765,2.3743657515463177,2020,3,4,64,2,1,275.3715209960937,270.2659912109375,285.79278564453125,295.76629638671875,309.62176513671875,297.3466186523437,304.379150390625,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,high,0
2020-03-05,IVV,279.7738129153329,282.96135487002766,275.1979788158371,277.4356689453125,6506600,0.0,0.0,0.0,-2.3381439700203828,-0.8357265269598225,2020,3,5,65,3,1,287.4732666015625,283.5002746582031,272.82330322265625,286.8978576660156,309.2381286621094,301.95880126953125,301.6117858886719,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,low,2
2020-03-06,IVV,268.9690941765509,274.0381404842472,266.16516566214545,272.81427001953125,9896200,0.0,0.0,0.0,3.845175842980325,1.4295976475484418,2020,3,6,66,4,1,277.4356689453125,275.3715209960937,270.2659912109375,285.79278564453125,309.68560791015625,305.3198547363281,296.7162780761719,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,high,0
2020-03-09,IVV,253.17747811453967,260.56638424941127,250.78450750272748,250.9854431152344,14676500,0.0,0.0,0.0,-2.192034999305264,-0.8658096350551246,2020,3,9,69,0,1,272.81427001953125,287.4732666015625,283.5002746582031,272.82330322265625,308.9459533691406,306.4889831542969,299.8764038085937,0.0,1.0,0.0,0.0,1.0,low,2
2020-03-10,IVV,260.94990668840427,264.6306593287166,250.81184486493967,264.4571228027344,14213300,0.0,0.0,0.0,3.507216114330106,1.3440189187413705,2020,3,10,70,1,1,250.9854431152344,277.4356689453125,275.3715209960937,270.2659912109375,310.42547607421875,304.82666015625,299.6664123535156,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,high,0
2020-03-11,IVV,257.43358505413767,258.5022033998296,248.4189382098359,251.5973663330078,9984000,0.0,0.0,0.0,-5.836218721129853,-2.2670774366532287,2020,3,11,71,2,1,264.4571228027344,272.81427001953125,287.4732666015625,283.5002746582031,309.15594482421875,307.0826110839844,300.570556640625,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,low,2
2020-03-12,IVV,234.618357847836,244.57374020510144,227.01937614982228,227.3847198486328,22444700,0.0,0.0,0.0,-7.233637999203182,-3.083150894737158,2020,3,12,72,3,1,251.5973663330078,250.9854431152344,277.4356689453125,275.3715209960937,305.9775390625,307.64898681640625,295.2275390625,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,low,2
2020-03-13,IVV,241.7972114748061,248.49199789833736,228.8095515834624,248.0170440673828,24915800,0.0,0.0,0.0,6.219832592576722,2.572334293948131,2020,3,13,73,4,1,227.3847198486328,264.4571228027344,272.81427001953125,287.4732666015625,295.76629638671875,309.62176513671875,297.3466186523437,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,high,0
2020-03-16,IVV,221.45717243962608,235.47692305414176,214.6345331847531,219.31082153320312,18004600,0.0,0.0,0.0,-2.1463509064229527,-0.9691945773434334,2020,3,16,76,0,1,248.0170440673828,251.5973663330078,250.9854431152344,277.4356689453125,286.8978576660156,309.2381286621094,301.95880126953125,0.0,1.0,0.0,0.0,1.0,low,2
2020-03-17,IVV,224.4986242624311,234.72801350330244,217.21018634457084,233.25753784179688,18140900,0.0,0.0,0.0,8.758913579365782,3.901544434021527,2020,3,17,77,1,1,219.31082153320312,227.3847198486328,264.4571228027344,272.81427001953125,285.79278564453125,309.68560791015625,305.3198547363281,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,high,0
2020-03-18,IVV,216.66213725935305,225.49411795152272,208.95355890162875,220.2698211669922,22014200,0.0,0.0,0.0,3.6076839076391423,1.6651196897040685,2020,3,18,78,2,1,233.25753784179688,248.0170440673828,251.5973663330078,250.9854431152344,272.82330322265625,308.9459533691406,306.4889831542969,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,high,0
2020-03-19,IVV,218.58017929296096,226.73628551233247,212.7530751290961,221.0827178955078,18324900,0.0,0.0,0.0,2.5025386025468492,1.144906464365518,2020,3,19,79,3,1,220.2698211669922,219.31082153320312,227.3847198486328,264.4571228027344,270.2659912109375,310.42547607421875,304.82666015625,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,high,0
2020-03-20,IVV,223.6309087772441,225.32057642487683,210.7071622887008,211.12730407714844,12619800,0.0,0.0,0.0,-12.50360470009565,-5.591179130139981,2020,3,20,80,4,1,221.0827178955078,233.25753784179688,248.0170440673828,251.5973663330078,283.5002746582031,309.15594482421875,307.0826110839844,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,low,2
2020-03-23,IVV,210.27793416701263,211.40135063753155,201.19021822177808,205.18150329589844,14473200,0.0,0.0,0.0,-5.096430871114194,-2.423664133520719,2020,3,23,83,0,1,211.12730407714844,220.2698211669922,219.31082153320312,227.3847198486328,275.3715209960937,305.9775390625,307.64898681640625,0.0,1.0,0.0,0.0,1.0,low,2
2020-03-24,IVV,216.45210668751773,225.0009560218644,215.52049746988425,224.5716857910156,12474400,0.0,0.0,0.0,8.11957910349787,3.7512127868636296,2020,3,24,84,1,1,205.18150329589844,221.0827178955078,233.25753784179688,248.0170440673828,287.4732666015625,295.76629638671875,309.62176513671875,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,high,0
2020-03-25,IVV,225.69383776277576,236.3825226873004,221.02500576009987,227.44004821777344,11938200,1.531,0.0,0.0,1.74621045499768,0.7737076352226782,2020,3,25,85,2,1,224.5716857910156,211.12730407714844,220.2698211669922,219.31082153320312,277.4356689453125,286.8978576660156,309.2381286621094,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,high,0
2020-03-26,IVV,230.0685884660889,242.2921050495214,229.6733848635955,241.1340789794922,15886800,0.0,0.0,0.0,11.06549051340329,4.809648543149251,2020,3,26,86,3,1,227.44004821777344,205.18150329589844,221.0827178955078,233.25753784179688,272.81427001953125,285.79278564453125,309.68560791015625,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,high,0
2020-03-27,IVV,233.44151440837413,240.45395493903175,231.401197688101,233.6620941162109,9514700,0.0,0.0,0.0,0.2205797078367766,0.09449035163938427,2020,3,27,87,4,1,241.1340789794922,224.5716857910156,211.12730407714844,220.2698211669922,250.9854431152344,272.82330322265625,308.9459533691406,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,high,0
2020-03-30,IVV,235.76674866686304,241.8968986957265,233.7815732762757,241.12486267089844,9539800,0.0,0.0,0.0,5.3581140040354,2.272633454179912,2020,3,30,90,0,1,233.6620941162109,227.44004821777344,205.18150329589844,221.0827178955078,264.4571228027344,270.2659912109375,310.42547607421875,0.0,1.0,0.0,0.0,1.0,high,0
2020-03-31,IVV,240.24254993774565,242.72402596156337,236.19868697644608,237.48536682128903,9561000,0.0,0.0,0.0,-2.7571831164566163,-1.1476664384269517,2020,3,31,91,1,1,241.12486267089844,241.1340789794922,224.5716857910156,211.12730407714844,251.5973663330078,283.5002746582031,309.15594482421875,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,low,2
2020-04-01,IVV,228.62564704796864,231.8056048033,224.8207344408872,226.8242950439453,13680800,0.0,0.0,0.0,-1.8013520040233288,-0.7879046061903027,2020,4,1,92,2,2,237.48536682128903,233.6620941162109,227.44004821777344,205.18150329589844,227.3847198486328,275.3715209960937,305.9775390625,0.0,0.866025,-0.5,0.9749279121818236,-0.22252093395631434,low,2
