Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,IWD,121.29563519053532,121.4195502206407,120.64950778396611,121.28678894042967,2242200,0.0,0.0,0.0,-0.008846250105648323,-0.0072931314401811186,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-03,IWD,120.18041530253284,120.77343827292384,120.1627092943299,120.47250366210938,1898800,0.0,0.0,0.0,0.2920883595765389,0.24304156283805342,2020,1,3,3,4,1,121.28678894042967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,IWD,119.87061311505693,120.60525709169312,119.74669807717407,120.57870483398438,2751500,0.0,0.0,0.0,0.7080917189274487,0.5907133537790384,2020,1,6,6,0,1,120.47250366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-07,IWD,120.36628760913769,120.44594438281769,120.0387872522427,120.2158203125,1617200,0.0,0.0,0.0,-0.15046729663768588,-0.12500784034005802,2020,1,7,7,1,1,120.57870483398438,121.28678894042967,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,IWD,120.3043303484992,120.97701009721278,120.1627092943299,120.47250366210938,1803500,0.0,0.0,0.0,0.1681733136101684,0.1397899087447656,2020,1,8,8,2,1,120.2158203125,120.47250366210938,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-09,IWD,121.02125542783064,121.08321969705344,120.62295807306818,121.0035629272461,1674000,0.0,0.0,0.0,-0.017692500584544746,-0.014619333208863813,2020,1,9,9,3,1,120.47250366210938,120.57870483398438,121.28678894042967,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-10,IWD,121.15404104062496,121.34876661025709,120.43710303685523,120.5433120727539,2227900,0.0,0.0,0.0,-0.6107289678710544,-0.5040929403801453,2020,1,10,10,4,1,121.0035629272461,120.2158203125,120.47250366210938,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-13,IWD,120.7556560874674,121.22477722167967,120.5078261518752,121.22477722167967,2738900,0.0,0.0,0.0,0.46912113421227275,0.3884879180089688,2020,1,13,13,0,1,120.5433120727539,120.47250366210938,120.57870483398438,121.28678894042967,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,IWD,121.14518855981598,121.70281304322872,121.03897951753838,121.41957092285156,1493400,0.0,0.0,0.0,0.27438236303558483,0.22649051629492267,2020,1,14,14,1,1,121.22477722167967,121.0035629272461,120.2158203125,120.47250366210938,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-15,IWD,121.27793267882976,121.80014501218491,121.08320714677798,121.44610595703124,1502300,0.0,0.0,0.0,0.1681732782014791,0.13866766565590988,2020,1,15,15,2,1,121.41957092285156,120.5433120727539,120.47250366210938,120.57870483398438,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-16,IWD,121.98603732093508,122.33123016357422,121.84441628146114,122.33123016357422,1821500,0.0,0.0,0.0,0.3451928426391362,0.2829773392269171,2020,1,16,16,3,1,121.44610595703124,121.22477722167967,121.0035629272461,120.2158203125,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-17,IWD,122.49056794525316,122.63218901275468,122.38435889749118,122.5613784790039,2297000,0.0,0.0,0.0,0.07081053375074475,0.05780896842799629,2020,1,17,17,4,1,122.33123016357422,121.41957092285156,120.5433120727539,120.47250366210938,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-21,IWD,122.09226241926788,122.4551613160428,121.91524284948636,122.04800415039062,3198600,0.0,0.0,0.0,-0.04425826887725748,-0.036249855642181056,2020,1,21,21,1,1,122.5613784790039,121.44610595703124,121.22477722167967,121.0035629272461,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-22,IWD,122.384335340128,122.51709662427564,121.97717822586552,122.09224700927734,1595900,0.0,0.0,0.0,-0.2920883308506603,-0.23866480137257315,2020,1,22,22,2,1,122.04800415039062,122.33123016357422,121.41957092285156,120.5433120727539,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-23,IWD,121.7381790545063,122.2249928778582,121.10091146524675,122.13648986816406,1477100,0.0,0.0,0.0,0.39831081365775844,0.32718643957983073,2020,1,23,23,3,1,122.09224700927734,122.5613784790039,121.44610595703124,121.22477722167967,121.28678894042967,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-24,IWD,122.3312278618442,122.3312278618442,120.51674715668626,121.0478057861328,1476500,0.0,0.0,0.0,-1.2834220757113997,-1.0491369196104556,2020,1,24,24,4,1,122.13648986816406,122.04800415039062,122.33123016357422,121.41957092285156,120.47250366210938,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-27,IWD,119.25104114785915,119.89718211816732,118.9855050578707,119.34840393066406,2245900,0.0,0.0,0.0,0.09736278280490751,0.08164522663092524,2020,1,27,27,0,1,121.0478057861328,122.09224700927734,122.5613784790039,121.44610595703124,120.57870483398438,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-28,IWD,119.8705891023075,120.70259569244833,119.64931132857744,120.3042984008789,1327800,0.0,0.0,0.0,0.43370929857140084,0.36181460508318464,2020,1,28,28,1,1,119.34840393066406,122.13648986816406,122.04800415039062,122.33123016357422,120.2158203125,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-29,IWD,120.64065197424968,120.81767150241238,119.79093933105467,119.79093933105467,1564500,0.0,0.0,0.0,-0.8497126431950051,-0.7043335967517592,2020,1,29,29,2,1,120.3042984008789,121.0478057861328,122.09224700927734,122.5613784790039,120.47250366210938,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-30,IWD,119.02974741238378,120.454776948912,118.73765910301437,120.3397216796875,1899900,0.0,0.0,0.0,1.3099742673037156,1.1005436000508784,2020,1,30,30,3,1,119.79093933105467,119.34840393066406,122.13648986816406,122.04800415039062,121.0035629272461,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-31,IWD,119.84404779417284,119.85290754959416,117.8437013990402,118.21544647216795,2298000,0.0,0.0,0.0,-1.628601322004883,-1.3589338410881597,2020,1,31,31,4,1,120.3397216796875,120.3042984008789,121.0478057861328,122.09224700927734,120.5433120727539,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-02-03,IWD,118.75535961600744,119.58736624560105,118.5960460941146,118.74651336669922,1188000,0.0,0.0,0.0,-0.008846249308220422,-0.007449136895231132,2020,2,3,34,0,1,118.21544647216795,119.79093933105467,119.34840393066406,122.13648986816406,121.22477722167967,121.28678894042967,0.0,0.0,0.866025,0.5,0.0,1.0,low,2
2020-02-04,IWD,120.03878965897792,120.59641409737074,119.95913288370082,120.0564956665039,1579500,0.0,0.0,0.0,0.01770600752598739,0.014750238299043967,2020,2,4,35,1,1,118.74651336669922,120.3397216796875,120.3042984008789,121.0478057861328,121.41957092285156,120.47250366210938,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,high,0
2020-02-05,IWD,121.10975639560785,122.01257352129018,121.0654981383807,121.92405700683594,1389300,0.0,0.0,0.0,0.8143006112280915,0.6723658237476422,2020,2,5,36,2,1,120.0564956665039,118.21544647216795,119.79093933105467,119.34840393066406,121.44610595703124,120.57870483398438,0.0,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,high,0
2020-02-06,IWD,122.45512324893608,122.48167550086276,121.84439444317624,121.94175720214844,920000,0.0,0.0,0.0,-0.5133660467876382,-0.4192279042045703,2020,2,6,37,3,1,121.92405700683594,118.74651336669922,120.3397216796875,120.3042984008789,122.33123016357422,120.2158203125,0.0,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,low,2
2020-02-07,IWD,121.51690942614204,121.6319782027626,121.0301090758472,121.18942260742188,1659700,0.0,0.0,0.0,-0.3274868187201605,-0.2694989695398787,2020,2,7,38,4,1,121.94175720214844,120.0564956665039,118.21544647216795,119.79093933105467,122.5613784790039,120.47250366210938,0.0,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
2020-02-10,IWD,120.95931077955376,121.6231442396272,120.93275852160896,121.60543823242188,992500,0.0,0.0,0.0,0.6461274528681145,0.5341692579959144,2020,2,10,41,0,1,121.18942260742188,121.92405700683594,118.74651336669922,120.3397216796875,122.04800415039062,121.0035629272461,0.0,0.0,0.866025,0.5,0.0,1.0,high,0
2020-02-11,IWD,122.11878386393562,122.58789168305908,122.05681960199809,122.13648986816406,1095200,0.0,0.0,0.0,0.017706004228443817,0.014499001437953879,2020,2,11,42,1,1,121.60543823242188,121.94175720214844,120.0564956665039,118.21544647216795,122.09224700927734,120.5433120727539,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,high,0
2020-02-12,IWD,122.71180178943294,122.92423331449918,122.37545525117564,122.57904052734376,816000,0.0,0.0,0.0,-0.1327612620891756,-0.108189481495013,2020,2,12,43,2,1,122.13648986816406,121.18942260742188,121.92405700683594,118.74651336669922,122.13648986816406,121.22477722167967,121.28678894042967,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,low,2
2020-02-13,IWD,122.27809053618732,122.81800883626042,122.01256801625244,122.6055908203125,1103400,0.0,0.0,0.0,0.32750028412517906,0.2678323505781747,2020,2,13,44,3,1,122.57904052734376,121.60543823242188,121.94175720214844,120.0564956665039,121.0478057861328,121.41957092285156,120.47250366210938,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-14,IWD,122.76492360809112,122.76492360809112,122.07453793641358,122.57019805908205,987300,0.0,0.0,0.0,-0.19472554900907824,-0.15861660096878386,2020,2,14,45,4,1,122.6055908203125,122.13648986816406,121.18942260742188,121.92405700683594,119.34840393066406,121.44610595703124,120.57870483398438,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
2020-02-18,IWD,122.3489370364424,122.42860732158384,121.43727343454084,121.96834564208984,1091600,0.0,0.0,0.0,-0.38059139435254963,-0.3110704543670764,2020,2,18,49,1,1,122.57019805908205,122.57904052734376,121.60543823242188,121.94175720214844,120.3042984008789,122.33123016357422,120.2158203125,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-19,IWD,122.30464354499352,122.59673182445262,122.0922255277312,122.32234954833984,956700,0.0,0.0,0.0,0.01770600334631922,0.014476967376799167,2020,2,19,50,2,1,121.96834564208984,122.6055908203125,122.13648986816406,121.18942260742188,119.79093933105467,122.5613784790039,120.47250366210938,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,high,0
2020-02-20,IWD,122.14536615961887,122.62332034554952,121.35761759925336,122.34893798828124,1138500,0.0,0.0,0.0,0.203571828662362,0.1666635706804755,2020,2,20,51,3,1,122.32234954833984,122.57019805908205,122.57904052734376,121.60543823242188,120.3397216796875,122.04800415039062,121.0035629272461,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-21,IWD,121.90632661489144,121.9859968642514,121.2955979022184,121.755859375,2106300,0.0,0.0,0.0,-0.15046723989144084,-0.12342857345441541,2020,2,21,52,4,1,122.34893798828124,121.96834564208984,122.6055908203125,122.13648986816406,118.21544647216795,122.09224700927734,120.5433120727539,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
2020-02-24,IWD,118.70225828340428,119.242176631577,117.8525456267445,118.22430419921876,3014100,0.0,0.0,0.0,-0.47795408418551233,-0.4026495292485391,2020,2,24,55,0,1,121.755859375,122.32234954833984,122.57019805908205,122.57904052734376,118.74651336669922,122.13648986816406,121.22477722167967,0.0,0.866025,0.5,0.0,1.0,low,2
2020-02-25,IWD,118.53406903057588,118.7110885376919,114.143925828919,114.53336334228516,3347900,0.0,0.0,0.0,-4.000705688290722,-3.3751525793472417,2020,2,25,56,1,1,118.22430419921876,122.34893798828124,121.96834564208984,122.6055908203125,120.0564956665039,121.0478057861328,121.41957092285156,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-26,IWD,115.07330006412865,115.92301274250744,113.28537844534964,113.3030776977539,3713100,0.0,0.0,0.0,-1.770222366374739,-1.5383432693667602,2020,2,26,57,2,1,114.53336334228516,121.755859375,122.32234954833984,122.57019805908205,121.92405700683594,119.34840393066406,121.44610595703124,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,low,2
2020-02-27,IWD,111.47974953303112,112.73661253080816,108.41726568493672,108.50577545166016,6479000,0.0,0.0,0.0,-2.9739740813709687,-2.6677258370497046,2020,2,27,58,3,1,113.3030776977539,118.22430419921876,122.34893798828124,121.96834564208984,121.94175720214844,120.3042984008789,122.33123016357422,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,low,2
2020-02-28,IWD,105.19545809861364,107.23121643066406,103.64651359683764,107.23121643066406,7598000,0.0,0.0,0.0,2.0357583320504204,1.9352150452560741,2020,2,28,59,4,1,108.50577545166016,114.53336334228516,121.755859375,122.32234954833984,121.18942260742188,119.79093933105467,122.5613784790039,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,high,0
2020-03-02,IWD,107.47905345606355,111.2673283175957,106.14253365114872,111.24077606201172,3962500,0.0,0.0,0.0,3.761722605948165,3.4999588152178163,2020,3,2,62,0,1,107.23121643066406,113.3030776977539,118.22430419921876,122.34893798828124,121.60543823242188,120.3397216796875,122.04800415039062,0.0,1.0,0.0,0.0,1.0,high,0
2020-03-03,IWD,111.43551991202716,112.94905950470246,107.4790711113966,108.3818817138672,3756900,0.0,0.0,0.0,-3.053638198159959,-2.7402736583188694,2020,3,3,63,1,1,111.24077606201172,108.50577545166016,114.53336334228516,121.755859375,122.13648986816406,118.21544647216795,122.09224700927734,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,low,2
2020-03-04,IWD,110.42647829192246,112.76317138506118,109.39974602982616,112.7100601196289,2238300,0.0,0.0,0.0,2.283581827706442,2.0679658203620197,2020,3,4,64,2,1,108.3818817138672,107.23121643066406,113.3030776977539,118.22430419921876,122.57904052734376,118.74651336669922,122.13648986816406,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,high,0
2020-03-05,IWD,109.96620841405606,110.67430004182592,107.85079328599294,108.83326721191406,1995200,0.0,0.0,0.0,-1.1329412021419927,-1.0302630403297404,2020,3,5,65,3,1,112.7100601196289,111.24077606201172,108.50577545166016,114.53336334228516,122.6055908203125,120.0564956665039,121.0478057861328,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,low,2
2020-03-06,IWD,105.45214146533702,107.19581150459103,104.40771004223808,106.7355499267578,2875900,0.0,0.0,0.0,1.2834084614207768,1.2170530096277312,2020,3,6,66,4,1,108.83326721191406,108.3818817138672,107.23121643066406,113.3030776977539,122.57019805908205,121.92405700683594,119.34840393066406,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,high,0
2020-03-09,IWD,98.69873582867626,100.59287294988626,96.69838294962648,97.24715423583984,4722100,0.0,0.0,0.0,-1.451581592836419,-1.4707195392614865,2020,3,9,69,0,1,106.7355499267578,112.7100601196289,111.24077606201172,108.50577545166016,121.96834564208984,121.94175720214844,120.3042984008789,0.0,1.0,0.0,0.0,1.0,low,2
2020-03-10,IWD,100.75218195205484,101.6372929098987,96.42398990842712,101.6107406616211,6184700,0.0,0.0,0.0,0.8585587095662532,0.8521489985942114,2020,3,10,70,1,1,97.24715423583984,108.83326721191406,108.3818817138672,107.23121643066406,122.32234954833984,121.18942260742188,119.79093933105467,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,high,0
2020-03-11,IWD,98.72529371546996,99.26521203113488,95.0520812697185,96.1584701538086,4406900,0.0,0.0,0.0,-2.5668235616613657,-2.5999654850954896,2020,3,11,71,2,1,101.6107406616211,106.7355499267578,112.7100601196289,111.24077606201172,122.34893798828124,121.60543823242188,120.3397216796875,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,low,2
2020-03-12,IWD,89.58209895122918,92.64458272911853,84.87330788914757,86.51961517333984,5583200,0.0,0.0,0.0,-3.062483777889341,-3.4186336486228526,2020,3,12,72,3,1,96.1584701538086,97.24715423583984,108.83326721191406,108.3818817138672,121.755859375,122.13648986816406,118.21544647216795,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,low,2
2020-03-13,IWD,91.67096305458722,94.2023815257677,86.71434188301689,94.06076049804688,6182400,0.0,0.0,0.0,2.3897974434596563,2.60692957052999,2020,3,13,73,4,1,86.51961517333984,101.6107406616211,106.7355499267578,112.7100601196289,118.22430419921876,122.57904052734376,118.74651336669922,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,high,0
2020-03-16,IWD,84.85562722594622,89.35198773430565,81.20011304281171,83.05884552001953,4849000,0.0,0.0,0.0,-1.7967817059266906,-2.1174573386186584,2020,3,16,76,0,1,94.06076049804688,96.1584701538086,97.24715423583984,108.83326721191406,114.53336334228516,122.6055908203125,120.0564956665039,0.0,1.0,0.0,0.0,1.0,low,2
2020-03-17,IWD,85.04148203623286,88.80320447343176,82.32419103994721,88.46685791015625,5385200,0.0,0.0,0.0,3.425375873923386,4.027888263358307,2020,3,17,77,1,1,83.05884552001953,86.51961517333984,101.6107406616211,106.7355499267578,113.3030776977539,122.57019805908205,121.92405700683594,0.0,1.0,0.0,0.7818314824680298,0.6234898018587336,high,0
2020-03-18,IWD,82.70480627503619,84.98838841399025,78.24384428387958,82.39501190185547,6209400,0.0,0.0,0.0,-0.309794373180722,-0.37457844003708285,2020,3,18,78,2,1,88.46685791015625,94.06076049804688,96.1584701538086,97.24715423583984,108.50577545166016,121.96834564208984,121.94175720214844,0.0,1.0,0.0,0.9749279121818236,-0.22252093395631434,low,2
2020-03-19,IWD,81.27975136373965,83.9085323280793,78.61556514617602,82.25337219238281,6106500,0.0,0.0,0.0,0.9736208286431633,1.1978639357372751,2020,3,19,79,3,1,82.39501190185547,83.05884552001953,86.51961517333984,101.6107406616211,107.23121643066406,122.32234954833984,121.18942260742188,0.0,1.0,0.0,0.43388373911755823,-0.900968867902419,high,0
2020-03-20,IWD,82.81985115309918,83.65185780624361,78.47395885943655,78.90766143798828,4381300,0.0,0.0,0.0,-3.912189715110898,-4.723734298772041,2020,3,20,80,4,1,82.25337219238281,88.46685791015625,94.06076049804688,96.1584701538086,111.24077606201172,122.34893798828124,121.60543823242188,0.0,1.0,0.0,-0.433883739117558,-0.9009688679024191,low,2
2020-03-23,IWD,78.31464083523679,78.4031506034075,74.44670251512876,75.38491821289062,5257000,0.0,0.0,0.0,-2.929722622346162,-3.740964130206374,2020,3,23,83,0,1,78.90766143798828,82.39501190185547,83.05884552001953,86.51961517333984,108.3818817138672,121.755859375,122.13648986816406,0.0,1.0,0.0,0.0,1.0,low,2
