Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,IWF,170.3897023605439,171.52455139160156,169.9857775214731,171.52455139160156,1676600,0.0,0.0,0.0,1.134849031057655,0.6660314651271115,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-03,IWF,169.36066765808593,171.48608285046635,169.26448878316108,170.28392028808594,2040100,0.0,0.0,0.0,0.9232526300000075,0.5451399328821245,2020,1,3,3,4,1,171.52455139160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,IWF,169.12981884307794,171.42835269047583,168.93747580027133,171.3706512451172,2459700,0.0,0.0,0.0,2.2408324020392456,1.3249185846514357,2020,1,6,6,0,1,170.28392028808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-07,IWF,171.22636808171472,171.60144211879506,170.75512986900202,171.01480102539062,1336200,0.0,0.0,0.0,-0.21156705632409967,-0.12355985745322418,2020,1,7,7,1,1,171.3706512451172,171.52455139160156,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,IWF,171.18794830513733,173.10179638092782,170.93790377594715,172.42857360839844,1624900,0.0,0.0,0.0,1.2406253032611119,0.7247153292880961,2020,1,8,8,2,1,171.01480102539062,170.28392028808594,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-09,IWF,173.55380840347857,174.08274818234324,173.16910758495294,173.84231567382812,1267300,0.0,0.0,0.0,0.28850727034955526,0.1662350558616567,2020,1,9,9,3,1,172.42857360839844,171.3706512451172,171.52455139160156,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-10,IWF,174.35197684905953,174.49624511391684,173.2556055403673,173.53451538085938,2058000,0.0,0.0,0.0,-0.8174614682001504,-0.46885701153124604,2020,1,10,10,4,1,173.84231567382812,171.01480102539062,170.28392028808594,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-13,IWF,174.19814539810426,175.11178588867188,173.9192355029288,175.11178588867188,1804700,0.0,0.0,0.0,0.9136404905676159,0.5244834774099488,2020,1,13,13,0,1,173.53451538085938,172.42857360839844,171.3706512451172,171.52455139160156,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,IWF,175.04448588556392,175.3330078433901,174.26548687181864,174.49630737304688,1338100,0.0,0.0,0.0,-0.5481785125170404,-0.3131652561026198,2020,1,14,14,1,1,175.11178588867188,173.84231567382812,171.01480102539062,170.28392028808594,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-15,IWF,174.63091560461163,175.7176750788561,174.55397545224767,175.188720703125,3133200,0.0,0.0,0.0,0.55780509851337,0.3194194433340299,2020,1,15,15,2,1,174.49630737304688,173.53451538085938,172.42857360839844,171.3706512451172,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
