Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02,70.40731139082374,70.51629872989837,70.36538973930104,70.39892578125,5511000,0.0,0.0,0.0
2020-01-03,70.57500034684169,70.66722288290217,70.50792824855274,70.65045166015625,5368300,0.0,0.0,0.0
2020-01-06,70.67561363978851,70.68399285542417,70.5163189938417,70.56661987304688,3710400,0.0,0.0,0.0
2020-01-07,70.59176386405065,70.59176386405065,70.48277650361288,70.50792694091797,3029900,0.0,0.0,0.0
2020-01-08,70.53306355269986,70.59175002702403,70.34023930692581,70.39892578125,3674400,0.0,0.0,0.0
2020-01-09,70.348650266152,70.50793852737552,70.30672859952313,70.4827880859375,5886600,0.0,0.0,0.0
2020-01-10,70.55823579767694,70.62530149988206,70.5079285255889,70.60015106201172,4525700,0.0,0.0,0.0
2020-01-13,70.57503051960114,70.57503051960114,70.50795839263702,70.55826568603516,3735700,0.0,0.0,0.0
2020-01-14,70.5917642673179,70.66722197601143,70.57499944113448,70.6588363647461,3492300,0.0,0.0,0.0
2020-01-15,70.75945954076208,70.7678451538086,70.68400181604072,70.7678451538086,2594300,0.0,0.0,0.0
2020-01-16,70.73429198308783,70.78459285649885,70.68398471332975,70.72590637207031,4784100,0.0,0.0,0.0
2020-01-17,70.65042670469941,70.72588438770782,70.63366188422259,70.71749877929688,3090600,0.0,0.0,0.0
2020-01-21,70.83490633959703,70.91874327565532,70.7762198447214,70.89359283447266,2910600,0.0,0.0,0.0
2020-01-22,70.91871158092376,70.9522476196289,70.89356115098123,70.9522476196289,4192100,0.0,0.0,0.0
2020-01-23,71.07801818847656,71.11993984303537,71.02771732008316,71.07801818847656,3104800,0.0,0.0,0.0
2020-01-24,71.11994725240137,71.26247065859526,71.09479681558446,71.18701934814453,4548400,0.0,0.0,0.0
2020-01-27,71.40502747609787,71.430177924683,71.34634096394923,71.42179870605469,3208600,0.0,0.0,0.0
