Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,TLT,115.2583539957638,115.88187778607134,115.15724689456208,115.4437255859375,11034100,0.0,0.0,0.0,0.18537159017370186,0.16083137034953232,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-03,TLT,116.5054293823673,117.25533722815514,116.17681836807732,117.22162628173828,12366000,0.0,0.0,0.0,0.7161968993709849,0.614732637927498,2020,1,3,3,4,1,115.4437255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,TLT,117.70188159066808,117.71873705968773,116.40428047222696,116.5559539794922,11369800,0.0,0.0,0.0,-1.1459276111758783,-0.9735847852977165,2020,1,6,6,0,1,117.22162628173828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,low,2
2020-01-07,TLT,116.46330920622611,116.67395764382135,115.97460328816986,115.98302459716795,8381200,0.0,0.0,0.0,-0.4802846090581596,-0.4123913465379049,2020,1,7,7,1,1,116.5559539794922,115.4437255859375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,TLT,116.2188615247909,116.53905102090827,114.86229895996856,115.2161865234375,10621700,0.0,0.0,0.0,-1.0026750013533956,-0.8627472238140217,2020,1,8,8,2,1,115.98302459716795,117.22162628173828,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
2020-01-09,TLT,114.59267128885726,115.8060075125574,114.51684098911387,115.62063598632812,7411500,0.0,0.0,0.0,1.027964697470864,0.897059721105237,2020,1,9,9,3,1,115.2161865234375,116.5559539794922,115.4437255859375,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-10,TLT,115.99986567462057,116.67394316265327,115.96616758585031,116.64866638183594,8776000,0.0,0.0,0.0,0.6488007072153721,0.5593116021662103,2020,1,10,10,4,1,115.62063598632812,115.98302459716795,117.22162628173828,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-13,TLT,116.17677621379246,116.3537136189235,115.76390084022952,116.29473876953124,5966900,0.0,0.0,0.0,0.1179625557387709,0.10153712263601823,2020,1,13,13,0,1,116.64866638183594,115.2161865234375,116.5559539794922,115.4437255859375,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,TLT,116.42957632428896,116.96884856563116,116.39587823768404,116.89300537109376,13920300,0.0,0.0,0.0,0.463429046804805,0.3980337826825251,2020,1,14,14,1,1,116.29473876953124,115.62063598632812,115.98302459716795,117.22162628173828,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-15,TLT,117.55857011067704,117.76078418700804,117.1372736423903,117.66809844970705,6290500,0.0,0.0,0.0,0.1095283390300068,0.09316916574171491,2020,1,15,15,2,1,116.89300537109376,116.64866638183594,115.2161865234375,116.5559539794922,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-16,TLT,117.3394979049658,117.56700161753568,116.90135879691522,117.29737854003906,6798600,0.0,0.0,0.0,-0.04211936492673374,-0.035895300115266,2020,1,16,16,3,1,117.66809844970705,116.29473876953124,115.62063598632812,115.98302459716795,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-17,TLT,115.92399563522238,116.39584585817757,115.73862406806796,116.29473876953124,9693100,0.0,0.0,0.0,0.370743134308853,0.3198156967220739,2020,1,17,17,4,1,117.29737854003906,116.89300537109376,116.64866638183594,115.2161865234375,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-21,TLT,116.96037246481268,117.6681477423628,116.92667439029026,117.51648712158205,6794900,0.0,0.0,0.0,0.5561146567693669,0.47547271357798815,2020,1,21,21,1,1,116.29473876953124,117.66809844970705,116.29473876953124,115.62063598632812,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,high,0
2020-01-22,TLT,117.72714765585285,118.0810353313368,117.617606402624,117.92937469482422,6317000,0.0,0.0,0.0,0.2022270389713725,0.17177604571082863,2020,1,22,22,2,1,117.51648712158205,117.29737854003906,116.89300537109376,116.64866638183594,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-23,TLT,118.6792813766607,119.1258548344654,118.62029366938803,118.75511169433594,9747400,0.0,0.0,0.0,0.07583031767524062,0.06389516080281331,2020,1,23,23,3,1,117.92937469482422,116.29473876953124,117.66809844970705,116.29473876953124,115.4437255859375,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-24,TLT,119.15960617161664,120.11174122006348,119.05849903619227,119.7157211303711,8585000,0.0,0.0,0.0,0.5561149587544492,0.46669754677899694,2020,1,24,24,4,1,118.75511169433594,117.51648712158205,117.29737854003906,116.89300537109376,117.22162628173828,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-27,TLT,121.291325874984,121.57780456542967,120.91216138975226,121.57780456542967,10935200,0.0,0.0,0.0,0.2864786904456764,0.2361905836044306,2020,1,27,27,0,1,119.7157211303711,117.92937469482422,116.29473876953124,117.66809844970705,116.5559539794922,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-28,TLT,121.2744053394146,121.40922330621709,120.3391394442135,120.62561798095705,10612900,0.0,0.0,0.0,-0.6487873584575539,-0.5349746771726249,2020,1,28,28,1,1,121.57780456542967,118.75511169433594,117.51648712158205,117.29737854003906,115.98302459716795,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-29,TLT,120.86163522467172,121.92329859526808,120.85320105971728,121.80533599853516,9566800,0.0,0.0,0.0,0.9437007738634406,0.7808108603769753,2020,1,29,29,2,1,120.62561798095705,119.7157211303711,117.92937469482422,116.29473876953124,115.2161865234375,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-30,TLT,122.0918126087246,122.7406133078356,121.57782997692784,121.82218933105467,14711800,0.0,0.0,0.0,-0.2696232776699219,-0.22083649338060105,2020,1,30,30,3,1,121.80533599853516,121.57780456542967,118.75511169433594,117.51648712158205,115.62063598632812,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-31,TLT,122.3192975484776,123.01023039374992,122.2518885252591,122.93438720703124,14538100,0.0,0.0,0.0,0.6150896585536287,0.5028557806341687,2020,1,31,31,4,1,121.82218933105467,120.62561798095705,119.7157211303711,117.92937469482422,116.64866638183594,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-02-03,TLT,122.33675649524012,123.02038861785964,121.63624091032015,122.83470916748048,15309000,0.242,0.0,0.0,0.4979526722403591,0.4070343913848439,2020,2,3,34,0,1,122.93438720703124,121.80533599853516,121.57780456542967,118.75511169433594,116.29473876953124,115.4437255859375,0.0,0.0,0.866025,0.5,0.0,1.0,high,0
2020-02-04,TLT,121.52658228581876,121.65317611114052,120.74166193388233,121.1805419921875,11388300,0.0,0.0,0.0,-0.3460402936312619,-0.2847445284171726,2020,2,4,35,1,1,122.83470916748048,121.82218933105467,120.62561798095705,119.7157211303711,116.89300537109376,117.22162628173828,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-05,TLT,120.1001957630492,120.43778778161244,119.76259086617596,119.85543060302734,10782600,0.0,0.0,0.0,-0.24476516002185633,-0.2038008002124859,2020,2,5,36,2,1,121.1805419921875,122.93438720703124,121.80533599853516,121.57780456542967,117.66809844970705,116.5559539794922,0.0,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,low,2
2020-02-06,TLT,119.99893682338045,120.58974231595556,119.84702424184728,120.39561462402344,6683100,0.0,0.0,0.0,0.3966778006429905,0.3305677626351288,2020,2,6,37,3,1,119.85543060302734,122.83470916748048,121.82218933105467,120.62561798095705,117.29737854003906,115.98302459716795,0.0,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-07,TLT,121.72067974161722,122.15955973729568,121.42527702026764,121.89791107177734,11374800,0.0,0.0,0.0,0.17723133016012582,0.14560494612447442,2020,2,7,38,4,1,120.39561462402344,121.1805419921875,122.93438720703124,121.80533599853516,116.29473876953124,115.2161865234375,0.0,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,high,0
2020-02-10,TLT,122.46346993943106,122.5900638213094,122.10898131353252,122.23558807373048,6699300,0.0,0.0,0.0,-0.22788186570058144,-0.18608150317256977,2020,2,10,41,0,1,121.89791107177734,119.85543060302734,122.83470916748048,121.82218933105467,117.51648712158205,115.62063598632812,0.0,0.0,0.866025,0.5,0.0,1.0,low,2
2020-02-11,TLT,122.03298664113032,122.1427098898291,121.48439615426751,121.61943817138672,7784100,0.0,0.0,0.0,-0.4135484697436027,-0.3388825276888038,2020,2,11,42,1,1,122.23558807373048,120.39561462402344,121.1805419921875,122.93438720703124,117.92937469482422,116.64866638183594,0.0,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,low,2
2020-02-12,TLT,121.00328826904295,121.15521372582856,120.68257964394068,121.00328826904295,5595500,0.0,0.0,0.0,0.0,0.0,2020,2,12,43,2,1,121.61943817138672,121.89791107177734,119.85543060302734,122.83470916748048,118.75511169433594,116.29473876953124,115.4437255859375,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,same,1
2020-02-13,TLT,121.06236284077649,121.70379291033572,120.91888557041368,121.46747589111328,7883400,0.0,0.0,0.0,0.40511305033679434,0.3346317061972487,2020,2,13,44,3,1,121.00328826904295,122.23558807373048,120.39561462402344,121.1805419921875,119.7157211303711,116.89300537109376,117.22162628173828,0.0,0.866025,0.5,0.43388373911755823,-0.900968867902419,high,0
2020-02-14,TLT,122.17643024361476,122.44651420333064,121.914794456585,121.99919891357422,7137400,0.0,0.0,0.0,-0.17723133004054148,-0.1450618009440524,2020,2,14,45,4,1,121.46747589111328,121.61943817138672,121.89791107177734,119.85543060302734,121.57780456542967,117.66809844970705,116.5559539794922,0.0,0.866025,0.5,-0.433883739117558,-0.9009688679024191,low,2
2020-02-18,TLT,122.66591317940168,123.26515374713604,122.3114377409437,122.83470916748048,6909200,0.0,0.0,0.0,0.1687959880787986,0.13760627031890318,2020,2,18,49,1,1,121.99919891357422,121.00328826904295,122.23558807373048,120.39561462402344,120.62561798095705,117.29737854003906,115.98302459716795,0.0,0.866025,0.5,0.7818314824680298,0.6234898018587336,high,0
2020-02-19,TLT,122.48029938970834,122.90229602528844,122.36214084687852,122.82633972167967,5707700,0.0,0.0,0.0,0.3460403319713379,0.2825273400665892,2020,2,19,50,2,1,122.83470916748048,121.46747589111328,121.61943817138672,121.89791107177734,121.80533599853516,116.29473876953124,115.2161865234375,0.0,0.866025,0.5,0.9749279121818236,-0.22252093395631434,high,0
