Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Price_Movement,Price_Movement_Pct,Year,Month,Day,Day_of_Year,Day_of_Week,quarter,Close_lag1,Close_lag3,Close_lag5,Close_lag7,Close_lag14,Close_lag21,Close_lag28,Close_lag365,Month_Sin,Month_Cos,Dayofweek_Sin,Dayofweek_Cos,Price_Movement_Category,Price_Movement_Code
2020-01-02,XLF,27.615208898479693,27.785066604614254,27.53475007479184,27.785066604614254,28843300,0.0,0.0,0.0,0.16985770613456097,0.6150875293357356,2020,1,2,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,high,0
2020-01-03,XLF,27.4274725638542,27.60626862219694,27.34701374080032,27.49005126953125,51363600,0.0,0.0,0.0,0.06257870567705126,0.22816067186417227,2020,1,3,3,4,1,27.785066604614254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,high,0
2020-01-06,XLF,27.239733476421858,27.490049992644945,27.2307934181487,27.472169876098636,27956100,0.0,0.0,0.0,0.23243639967677865,0.8532990966228459,2020,1,6,6,0,1,27.49005126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-07,XLF,27.409588536649444,27.45428711857366,27.293371200561523,27.293371200561523,39627500,0.0,0.0,0.0,-0.11621733608792084,-0.42400248341023544,2020,1,7,7,1,1,27.472169876098636,27.785066604614254,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-08,XLF,27.3201922957385,27.62414745645876,27.3201922957385,27.472169876098636,47966600,0.0,0.0,0.0,0.15197758036013553,0.5562829818875087,2020,1,8,8,2,1,27.293371200561523,27.49005126953125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,high,0
2020-01-09,XLF,27.6688470754128,27.69566554443876,27.561568083883795,27.64202690124512,27705300,0.0,0.0,0.0,-0.026820174167678346,-0.09693274929229485,2020,1,9,9,3,1,27.472169876098636,27.472169876098636,27.785066604614254,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,0.43388373911755823,-0.900968867902419,low,2
2020-01-10,XLF,27.659911087487394,27.66885114685881,27.400654481142265,27.43641471862793,33458200,0.0,0.0,0.0,-0.22349636885946467,-0.8080154999506431,2020,1,10,10,4,1,27.64202690124512,27.293371200561523,27.49005126953125,0.0,0.0,0.0,0.0,0.0,0.5,0.866025,-0.433883739117558,-0.9009688679024191,low,2
2020-01-13,XLF,27.498993807221503,27.650971408341444,27.427475036408705,27.6241512298584,27542700,0.0,0.0,0.0,0.1251574226368959,0.45513455333783276,2020,1,13,13,0,1,27.43641471862793,27.472169876098636,27.472169876098636,27.785066604614254,0.0,0.0,0.0,0.0,0.5,0.866025,0.0,1.0,high,0
2020-01-14,XLF,27.624149512747746,27.78506716335944,27.534750628503264,27.57051086425781,37575400,0.0,0.0,0.0,-0.05363864848993671,-0.19417303133688885,2020,1,14,14,1,1,27.6241512298584,27.64202690124512,27.293371200561523,27.49005126953125,0.0,0.0,0.0,0.0,0.5,0.866025,0.7818314824680298,0.6234898018587336,low,2
2020-01-15,XLF,27.436415351699345,27.525814242334327,27.32913634190896,27.418535232543945,41457300,0.0,0.0,0.0,-0.01788011915540011,-0.06516929754197157,2020,1,15,15,2,1,27.57051086425781,27.43641471862793,27.472169876098636,27.472169876098636,0.0,0.0,0.0,0.0,0.5,0.866025,0.9749279121818236,-0.22252093395631434,low,2
