Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-01-02,121.29564282048631,121.41955785838643,120.64951537327327,121.28679656982422,2242200,0.0,0.0,0.0
2020-01-03,120.18040008073906,120.77342297601903,120.16269407477873,120.47248840332031,1898800,0.0,0.0,0.0
2020-01-06,119.87059794587425,120.60524182954397,119.74668292367241,120.57868957519531,2751500,0.0,0.0,0.0
2020-01-07,120.36624941441862,120.44590616282188,120.0387491614463,120.21578216552734,1617200,0.0,0.0,0.0
2020-01-08,120.30431511101062,120.97699477452402,120.16269407477873,120.47248840332031,1803500,0.0,0.0,0.0
2020-01-09,121.0212249057904,121.08318915938558,120.62292765148011,121.00353240966797,1674000,0.0,0.0,0.0
2020-01-10,121.15403337257634,121.34875892988394,120.43709541418286,120.54330444335938,2227900,0.0,0.0,0.0
2020-01-13,120.755724486297,121.22484588623047,120.50789441032812,121.22484588623047,2738900,0.0,0.0,0.0
2020-01-14,121.14520378412342,121.70282833761279,121.03899472849854,121.41958618164062,1493400,0.0,0.0,0.0
2020-01-15,121.2779555353188,121.80016796709202,121.08322996656831,121.44612884521484,1502300,0.0,0.0,0.0
2020-01-16,121.98603732093507,122.33123016357422,121.84441628146114,122.33123016357422,1821500,0.0,0.0,0.0
2020-01-17,122.49051457034692,122.63213557613747,122.38430556886523,122.56132507324219,2297000,0.0,0.0,0.0
2020-01-21,122.09224715494551,122.45514600634979,121.91522760729549,122.04798889160156,3198600,0.0,0.0,0.0
2020-01-22,122.38433534012799,122.51709662427565,121.97717822586553,122.09224700927734,1595900,0.0,0.0,0.0
2020-01-23,121.73819426353349,122.22500814770414,121.10092659465867,122.13650512695312,1477100,0.0,0.0,0.0
2020-01-24,122.33125099270217,122.33125099270217,120.51676994445525,121.0478286743164,1476500,0.0,0.0,0.0
2020-01-27,119.25103352468861,119.89717445369193,118.98549745167463,119.34839630126953,2245900,0.0,0.0,0.0
